CPU_name,CPU_core_count,CPU_core_clock,CPU_boost_clock,CPU_graphics
Intel Xeon E5-2697 V2,12,2.7,3.5,
Intel Celeron G4900T,2,1.8,,Intel UHD Graphics 610
Intel Pentium Gold G6600,2,4.2,,Intel UHD Graphics 630
Intel Pentium G2020,2,2.9,,Intel HD Graphics
Intel Core i5-6400,4,2.7,3.3,Intel HD Graphics 530
Intel Core i5-750,4,2.66,,
Intel Core 2 Duo E8500,2,3.16,,
Intel Core i7-4770K,4,3.5,3.9,Intel HD Graphics 4600
Intel Pentium E2220,2,2.4,,
Intel Core i9-7980XE,18,2.6,4.4,
Intel Core i7-3770S,4,3.1,,Intel HD Graphics 4000
AMD Phenom II X6 1090T Black,6,3.2,,
Intel Xeon E5-2690 V4,14,2.6,3.5,
AMD Ryzen 5 PRO 7645,6,3.8,5.1,Radeon
Intel Core 2 Quad Q9650,4,3,,
Intel Core i5-3450,4,3.1,,Intel HD Graphics 2500
AMD Ryzen 7 PRO 7745,8,3.8,5.3,Radeon
Intel Core i3-10320,4,3.8,4.6,Intel UHD Graphics 630
Intel Core i5-7640X,4,4,4.2,
Intel Xeon E3-1231 V3,4,3.4,3.8,
AMD Ryzen 7 5700,8,3.7,4.6,
Intel Core i3-6300,2,3.8,,Intel HD Graphics 530
AMD A10-7850K,4,3.7,4,Radeon R7 (on-die)
Intel Xeon E5-2697 V4,18,2.3,3.6,
Intel Core i7-13700T,16,1.4,4.9,
Intel Core i5-7400,4,3,3.5,Intel HD Graphics 630
Intel Core i7-950,4,3.06,,
Intel Core i7-6700T,4,2.8,3.6,Intel HD Graphics 530
AMD FX-8150,8,3.6,,
Intel Core i5-4590S,4,3,3.7,Intel HD Graphics 4000
Intel Celeron G4900,2,3.1,,Intel UHD Graphics 610
AMD A4-5300,2,3.4,,Radeon HD 7480D
Intel Core i7-4790S,4,3.2,4,Intel HD Graphics 4000
Intel Core i3-7100,2,3.9,,Intel HD Graphics 630
Intel Xeon E5-2650 V2,8,2.6,3.4,
Intel Core i7-7800X,6,3.5,4,
Intel Xeon E5-2687W V3,10,3.1,3.5,
Intel Core i7-940,4,2.93,,
Intel Core i5-3550,4,3.3,,Intel HD Graphics 2500
AMD Athlon X4 860K,4,3.7,4,
AMD Ryzen 5 8500G,6,3.5,5,Radeon 740M
Intel Xeon E5-2620 V3,6,2.4,3.2,
