CPU_name,CPU_price,CPU_core_count,CPU_core_clock,CPU_boost_clock,CPU_graphics
Intel Core i5-6400,,4,2.7,3.3,Intel HD Graphics 530
Intel Xeon E5-2650,57,8,2,2.8,
Intel Core i7-4770K,155.86,4,3.5,3.9,Intel HD Graphics 4600
Intel Xeon E5-2660,,8,2.2,3,
Intel Xeon E5-2695 V2,189,12,2.4,3.2,
Intel Xeon E5-1630 V4,229.95,4,3.7,4,
Intel Core i5-9500F,,6,3,4.4,
Intel Core i5-8400T,139,6,1.7,3.3,Intel UHD Graphics 630
AMD Ryzen 7 PRO 7745,,8,3.8,5.3,Radeon
Intel Pentium G4400,85,2,3.3,,Intel HD Graphics 510
Intel Core i5-2400S,70,4,2.5,,Intel HD Graphics 2000
Intel Core i5-7400,110,4,3,3.5,Intel HD Graphics 630
Intel Core i7-5775C,250,4,3.3,3.7,Iris Pro Graphics 6200
Intel Xeon E5-1620 V4,151.12,4,3.5,3.8,
Intel Xeon E5-2690 V4,,14,2.6,3.5,
Intel Core i5-4570T,79,2,2.9,,Intel HD Graphics 4600
AMD A10-6700,112.76,4,3.7,,Radeon HD 8670D
Intel Core i3-6098P,59,2,3.6,,Intel HD Graphics 510
AMD A8-9600,,4,3.1,3.4,Radeon R7 (on-die)
Intel Xeon E5-2620 V3,67.95,6,2.4,3.2,
AMD Ryzen 3 2200G,,4,3.5,3.7,Radeon Vega 8
Intel Xeon E5-2687W V3,,10,3.1,3.5,
Intel Celeron E3400,18.98,2,2.6,,
AMD Athlon II 160u,,1,1.8,,
Intel Core i3-7100,72.8,2,3.9,,Intel HD Graphics 630
AMD A10-9700,120,4,3.5,3.8,Radeon R7 (on-die)
Intel Core i5-3550,335,4,3.3,,Intel HD Graphics 2500
Intel Core i5-6402P,80,4,2.8,3.4,Intel HD Graphics 510
Intel Core i5-9600KF,339.95,6,3.7,4.6,
Intel Core i5-4590S,,4,3,3.7,Intel HD Graphics 4000
Intel Core i9-9900X,655.06,10,3.5,4.4,
Intel Core i5-650,100,2,3.2,,Intel HD Graphics
Intel Core i9-9960X,,16,3.1,4.4,
Intel Core i3-3240,106.51,2,3.4,,Intel HD Graphics 2500
AMD FX-8320E,,8,3.2,4,
Intel Core i5-9500T,,6,2.2,3.7,Intel UHD Graphics 630
